author,comment,comment_pre_processing,date,url,product,stars,price,currency,weight,target_by_RuBRT-tiny_no_processing,target_by_stars,target_by_RuBRT-tiny_processing
Лидия,Вкусные сочные апельсины!,вкусный сочный апельсин,20 апр 2025  · Карта: xxx33,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Дария,"Апельсины никакущие. Рассыпаются на волокна, на вкус пресные и с неприятным привкусом",апельсин никакущий рассыпаться волокно вкус пресный неприятный привкус,20 апр 2025  · Карта: xxx79,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Елена,"Апельсины нам понравились,сочные,сладкие",апельсин понравилисьсочныесладкий,19 апр 2025  · Карта: xxx18,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
МАРИЯ,"Не могу остановится , очень вкусные апельсины , заказываю 6ой раз",не остановиться очень вкусный апельсин заказывать ой,18 апр 2025  · Карта: xxx58,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Ольга,Понравились . В меру сладкие и язык от них не болит,понравиться мера сладкий язык не болеть,18 апр 2025  · Карта: xxx04,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,0
Светлана,"Апельсины пришли в состоянии 2хмесячнкго прибывания в магазине., кожура сухая и прочее. Когда такой продукт лежит забытый в холодильнике или на балконе. Вывод: ребята со вкуса вилл очень хорошо проделывают манипуляции, замены просроченных продуктов и прочее. Понятно, что жить всё хотят. Но мне так не надо. Полный обман!",апельсин прислать состояние хмесячнкго прибывания магазин кожура сухой прочее продукт лежать забытый холодильник балкон вывод ребята вкус вилла очень проделывать манипуляция замена просрочить продукт прочее понятно жить всё хотеть не полный обман,17 апр 2025  · Карта: xxx59,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
ОКСАНА,"Невкусные, несладкие",невкусный несладкий,17 апр 2025  · Карта: xxx38,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Алевтина,"По з/ц апельсин - то, что надо!",апельсин,17 апр 2025  · Карта: xxx47,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Анастасия,"Очень понравились!Сочные,крупные.",очень понравилисьсочныекрупный,17 апр 2025  · Карта: xxx98,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Ольга,Совсем не крупные и уже сухие,не крупный сухой,16 апр 2025  · Карта: xxx76,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Полина,Из 4-х ожин сухой совсем.. но по зелёному ценнику норм,ожин сухой зелёный ценник норма,15 апр 2025  · Карта: xxx83,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,1,1,0
Юлия Валерьевна Суворова,Попался сочный.вкусный.огромный размер.не ошиблась,попасться сочныйвкусныйогромный размерна ошибиться,15 апр 2025  · Карта: xxx42,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,0
Екатерина,"Сухой (совсем нет сока, как картошка), безвкусный, выбросили, есть невозможно! Наверное сначала не дозрел, а потом высох! Даже апельсином не пахнет!",сухой сок картошка безвкусный выбросить невозможно наверное сначала не дозрелый высохнуть апельсин не пахнуть,15 апр 2025  · Карта: xxx90,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Светлана,"Положили гнилой апельсин, не приятно",положить гнилой апельсин не приятно,14 апр 2025  · Карта: xxx69,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Марина,"Апельсины хоть и сочные,но абсолютно бесвкусные.",апельсин сочныить абсолютно бесвкусный,14 апр 2025  · Карта: xxx71,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Лариса,"Прекрасные идеальные апельсины. Сочные, сладкие. Буду брать ещё обязательно",прекрасный идеальный апельсин сочный сладкий брать обязательно,13 апр 2025  · Карта: xxx87,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Светлана,"Покупала в магазине, внешне красивые. По вкусу оказались сочными, без косточек, сладкие, очень понравились! Если не ошибаюсь, страна происхождения была написана Иран.",покупать магазин внешне красивый вкус сочный косточка сладкий очень понравиться не ошибаться происхождение написать иран,12 апр 2025  · Карта: xxx47,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Марина,Сухие и кислые,сухой кислый,10 апр 2025  · Карта: xxx45,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
ВИКТОРИЯ,"На апельсинах небольшие пятна, как от залежалости и выцветшие. Мякоть не одного цвета. На ней много белого, так много с одной стороны апельсинов, что мякоть там сухая и выцветшая. Перегородки отдельно от мякоти. Привкус затхлых апельсин. Может, нарушены условия хранения. Раньше они были вкусные.",апельсин небольшой пятно залежалость выцветший мякоть не цвет белый сторона апельсин мякоть сухой выцветший перегородка отдельно мякоть привкус затхлый апельсин нарушить условие хранение ранний вкусный,10 апр 2025  · Карта: xxx01,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
анна,Привезли всего два апельсина! Легкие! Сухие и вообще не сочные!!!!! Жуть!!!! Не советую брать!!!!,привезти апельсин лёгкий сухой вообще не сочный жуть не советовать брать,09 апр 2025  · Карта: xxx05,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Галина,Обалденные!!!,обалденный,09 апр 2025  · Карта: xxx80,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Дарья,"Сладкие, сочные, нежные внутри (Калуга)",сладкий сочный нежный внутри калуга,07 апр 2025  · Карта: xxx51,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Жанна,"Крупные, очень толстокожие-по весу шкура и очищенный апельсин примерно одинаковые, вдобавок шкура очень плохо чистится. Косточек нет, суховатые. Кстати, апельсины из Египта Al Masoud, а из Египта никогда вкусных апельсинов не привозили.",крупный очень толстокожиепо вес шкура очистить апельсин примерно одинаковый вдобавок шкура очень плохо чиститься косточка суховатый кстати апельсин египет египет вкусный апельсин не привозить,07 апр 2025  · Карта: xxx70,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,0,1,0
Юлия,"Сочные, сладкие!",сочный сладкий,07 апр 2025  · Карта: xxx49,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Юрий,"Увы. Крупные, но бледные внутри, сухие и почти несладкие.",увы крупный бледный внутри сухой несладкий,06 апр 2025  · Карта: xxx16,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Екатерина,"очень сухие внутри, сока нет, белые на срез через середину поперек",очень сухой внутри сок белые срез середина поперёк,06 апр 2025  · Карта: xxx10,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Юлия,"Рискнула купить по ЗЦ. На удивление привезли огромные два апельсина, ароматные и сочные.",рискнуть купить удивление привезти огромный апельсин ароматный сочный,06 апр 2025  · Карта: xxx10,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,0,1,0
Валерия,"Покупала апельсины 3 и 5 апреля. 3 апреля отличные, крупные. 5 апреля привезли жалкое подобие. По размеру чуть больше мандаринов.",покупать апельсин отличный крупный привезти жалкий подобие размер большой мандарин,06 апр 2025  · Карта: xxx32,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Кристина,Отличные! 🍊Сладкие сочные.,отличный 🍊сладкое сочный,06 апр 2025  · Карта: xxx93,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Оксана,"Привезли апельсины хоть и крупные, но на вид и вкус совсем отличные от предыдущей покупки. Те были сочные и сладкие с тонкой кожурой, прямо как в фото карточки товара, а эти безвкусные какие-то, как пресные, грубо волокнистые, толстые перегородки внутри и кожура, вообщем разочарование",привезти апельсин крупный вид вкус отличный предыдущий покупка сочный сладкий тонкий кожура прямо фото карточка товар безвкусный какиеть пресный грубо волокнистый толстый перегородка внутри кожура вообщий разочарование,04 апр 2025  · Карта: xxx50,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
елена,В этот раз апельсины сухие и кислые - есть невозможно! За такие деньги !,апельсин сухой кислый невозможно деньга,03 апр 2025  · Карта: xxx12,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
ИРИНА ПАВЛОВНА,"Сочные вкусные, кисло сладкие. Очень понравились!",сочный вкусный кисло сладкий очень понравиться,02 апр 2025  · Карта: xxx55,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Евгения,Потрясающие,потрясать,01 апр 2025  · Карта: xxx89,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Михаил,"Повезло, в этот раз сочные и сладкие.",повезти сочный сладкий,31 мар 2025  · Карта: xxx23,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Наталья,"Некоторые из апельсинов суховатые,а главное -безвкусные.Не рекомендую,считаю за такие деньги 320р(ЛП 256р) товар должен быть качественный!",некоторый апельсин суховатыеа главное безвкусныен рекомендуюсчитать деньга товар качественный,31 мар 2025  · Карта: xxx73,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,1
Покупатель,Не сочные (,не сочный,31 мар 2025  · Карта: xxx64,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,0,1,0
Владимир,Засохшие апельсины,засохнуть апельсин,30 мар 2025  · Карта: xxx13,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,1,0,0
Светлана,Сухие и не вкусные,сухой не вкусный,30 мар 2025  · Карта: xxx16,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
ЛЮДМИЛА,вместо крупных привезли мелкие не сочные пожалуйста повнимательнее,вместо крупный привезти мелкий не сочный пожалуйста внимательный,30 мар 2025  · Карта: xxx91,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
СВЕТЛАНА ВИЛЕНОВНА,Отличные. Даже по зц пришли свежие и сладкие. Рекомендую,отличный прислать свежий сладкий рекомендовать,30 мар 2025  · Карта: xxx80,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Татьяна,"Из трёх два испорчены,прокисли",испорченыпрокиснуть,29 мар 2025  · Карта: xxx40,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Инна,"Попались, абсолютно безвкусные и сухие, к сожалению",попасться абсолютно безвкусный сухой сожаление,29 мар 2025  · Карта: xxx51,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
ИННА,Апельсины с одной стороны сухие(,апельсин сторона сухой,29 мар 2025  · Карта: xxx64,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
ИРИНА,Не всегда свежие привозят,не свежий привозить,29 мар 2025  · Карта: xxx26,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
ТИМОФЕЙ,"К сожалению, сухой, сока не было",сожаление сухой сок не,28 мар 2025  · Карта: xxx59,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Зайтуна,"Как не стыдно ВВ реализовывать критично некачественный продукт: в разрезе апельсин представлен трухой, ни капли сока. Хотя, не скрою, цедра оказалась сочной. Похоже, это новый сорт апельсина - цедроапельсин или апельсин наоборот .. Внутренности в отходы, цедру в выпечку.",не стыдно реализовывать критично некачественный продукт разрез апельсин представить труха капля сок хотя не скроить цедра сочный похоже новый сорт апельсин цедроапельсин апельсин наоборот внутренность отход цедра выпечка,28 мар 2025  · Карта: xxx35,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Елена,"По размеру ближе к мелким, даже не средним.",размер близкий мелкий не средний,28 мар 2025  · Карта: xxx64,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Наталья,"С кислинкой и немного водянистый вкус, но есть можно. На 4",кислинка немного водянистый вкус,28 мар 2025  · Карта: xxx61,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,1,1,1
Ольга,Совершенно безвкусный. Сочный. Но никакого удовольствия от него.,совершенно безвкусный сочный никакой удовольствие,27 мар 2025  · Карта: xxx28,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,1,0,1
Юлия,Суховаты внутри,суховатый внутри,27 мар 2025  · Карта: xxx00,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
ДАРЬЯ,"Всегда все было ок, но вчера привезли мелкие и кислющие :(",всё около вчера привезти мелкий кислющий,27 мар 2025  · Карта: xxx50,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Мария,Вкусный и крупный апельсин,вкусный крупный апельсин,27 мар 2025  · Карта: xxx00,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
ЕЛЕНА АНАТОЛЬЕВНА,"Тонкая кожа, сочные десертного вкуса. Немного косточек.",тонкий кожа сочный десертный вкус немного косточка,27 мар 2025  · Карта: xxx42,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,0,1,0
лариса,"Сухие и безвкусные, толстая кожура",сухой безвкусный толстой кожура,27 мар 2025  · Карта: xxx63,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Надежда,"Мне апельсин очень понравился, супер сладкий и очень сочный, я таких еще в жизни не ела 😂
Вообще апельсины не очень люблю, но купила из-за их божественного аромата на весь магазин и не пожалела)",апельсин очень понравиться супер сладкий очень сочный жизнь не вообще апельсин не очень любить купить божественный аромат магазин не пожалеть,27 мар 2025  · Карта: xxx93,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Сергей,Приехали абсолютно сухие :(,приехать абсолютно сухой,26 мар 2025  · Карта: xxx12,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
НАТАЛИЯ,"Так как покупала давно, фото нет. Были абсолютно сухие, как мочалка. Выбросила, больше не покупала",покупать давно фото абсолютно сухой мочалка выбросить большой не покупать,26 мар 2025  · Карта: xxx18,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Людмила,"Вкусные, но большие)",вкусный больший,26 мар 2025  · Карта: xxx53,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Татьяна,Крупные. Вкусные. Сладкие..,крупный вкусный сладкий,25 мар 2025  · Карта: xxx48,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,0,1,1
Светлана,Хорошие апельсины,хороший апельсин,24 мар 2025  · Карта: xxx91,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
ЖЕРМЕНА,"Не очень. Выглядят аппетитно,по факту сухие",не очень выглядеть аппетитнопо факт сухой,24 мар 2025  · Карта: xxx35,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
ЮЛИЯ ВЛАДИМИРОВНА,"Толстая кожура, 1,5 сантиметра, не меньше. Мало мякоти по факту",толстой кожура сантиметр не маленький мало мякоть факт,24 мар 2025  · Карта: xxx06,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Ольга,"Выглядят прекрасно, на вкус - трава травой. Тот случай, когда обертка лучше конфеты",выглядеть прекрасно вкус трава трава случай обёртка хороший конфета,24 мар 2025  · Карта: xxx63,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,1,0,1
Надежда,Внутри сухой,внутри сухой,24 мар 2025  · Карта: xxx95,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Андрей,Сухие и не сочные,сухой не сочный,24 мар 2025  · Карта: xxx45,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Зайтуна,"Самые лучшие апельсины: сочные, крупные, сладкие. Даже цедра удивляет своей сочностью.",хороший апельсин сочный крупный сладкий цедра удивлять сочность,24 мар 2025  · Карта: xxx35,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Светлана,Сладкие,сладкий,24 мар 2025  · Карта: xxx18,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
АЛЛА,"Зависит от конкретного фрукта. Какие-то очень вкусные, какие-то суховаты",зависеть конкретный фрукт какиеть очень вкусный какиеть суховатый,24 мар 2025  · Карта: xxx78,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,0,1,1
Наталья Алексеевна,Не сочный. Сухой.,не сочный сухой,23 мар 2025  · Карта: xxx01,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Элла,На одну треть апельсина суховаты.,треть апельсин суховатый,23 мар 2025  · Карта: xxx05,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Александр,Безвкусные( не советую,безвкусный не советовать,23 мар 2025  · Карта: xxx92,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
ЕЛЕНА СЕРГЕЕВНА,Кислое,кислый,23 мар 2025  · Карта: xxx15,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Ульяна,Первый раз были крупные. Второй раз заказала - приехали мелкие. Очень маленького размера. Товар не соответствует описанию.,первый крупный второй заказать приехать мелкий очень маленький размер товар не соответствовать описание,23 мар 2025  · Карта: xxx47,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Юлия,"Не знаю откуда 4.8 рейтинг, половина долек ""сухие"" внутри, ни сладости ни сочности",не откуда рейтинг половина долька сухой внутри сладость сочность,23 мар 2025  · Карта: xxx46,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
ЕЛЕНА,"Немного суховата мякоть, не хватает срочности и вкуса",немного суховатый мякоть не хватать срочность вкус,23 мар 2025  · Карта: xxx48,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,1,1,1
ЕЛЕНА,"Апельсин без вкуса и сухой! Брала специально подороже, думала вкусные будут, а в результате полное разочарование! К покупке не рекомендую",апельсин вкус сухой брать специально дорогой думать вкусный полный разочарование покупка не рекомендовать,23 мар 2025  · Карта: xxx10,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Ирина,"Апельсины внутри белесые, испорчены. Пришлось выбросить.",апельсин внутри белесый испортить прийтись выбросить,23 мар 2025  · Карта: xxx11,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,0,0,0
Людмила,"Хорошие апельсины, но слишком большие",хороший апельсин слишком больший,23 мар 2025  · Карта: xxx53,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Анастасия,"Сладкие, хорошие",сладкий хороший,22 мар 2025  · Карта: xxx17,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
ТАТЬЯНА,"Сочные, сладкие!",сочный сладкий,22 мар 2025  · Карта: xxx38,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
СЕРГЕЙ,"Из 7 шт 3шт сухие внутри, на ощупь были твердые, первый раз такое, всегда в магазинах (Ашан, Спар, Пятерка) выбираю крупные и твердые - сочные,",сухой внутри ощупь твёрдый первый магазин пятёрка выбирать крупный твёрдый сочный,22 мар 2025  · Карта: xxx27,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг,1,0,0
НАДЕЖДА,Сухие и не очень сладкие,сухой не очень сладкий,22 мар 2025  · Карта: xxx16,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
ЛИЛИЯ,"Крупные, сочные, но с очень толстой кожурой",крупный сочный очень толстой кожура,22 мар 2025  · Карта: xxx46,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,0,1,0
марьяна музарачевна,"Очень вкусные апельсины, крупные, сочные и сладкие :)",очень вкусный апельсин крупный сочный сладкий,21 мар 2025  · Карта: xxx08,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Татьяна,"Сухие, не вкусные",сухой не вкусный,21 мар 2025  · Карта: xxx63,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
АНУШ,"Сочный ,сладкий 😋 судовольствием поели и дети .",сочный сладкий судовольствие поесть ребёнок,20 мар 2025  · Карта: xxx94,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Анастасия,"Безвкусные,уже чуть подсохшие,не сладкие",безвкусныеуже подсохшиен сладкий,20 мар 2025  · Карта: xxx32,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,1,0,1
Анастасия,"Внутри Желтые по краям долек, типа зелёные . Вкус химический - искусственный. Сочность ниже средней.",внутри жёлтый край долька тип зелёный вкус химический искусственный сочность ниже средний,20 мар 2025  · Карта: xxx98,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Елена,Не сочные,не сочный,20 мар 2025  · Карта: xxx35,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Анна,Безвкусный,безвкусный,20 мар 2025  · Карта: xxx81,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,1
Ирина,Отличный сочные апельсины,отличный сочный апельсин,20 мар 2025  · Карта: xxx93,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
ОЛЬГА,"Сочные, больше сладкие, чем кислые",сочный большой сладкий кислый,20 мар 2025  · Карта: xxx15,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Елена Валерьевна,"Очень вкусные!
Сочные!",очень вкусный сочный,19 мар 2025  · Карта: xxx61,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Привет,Переспелые высохшие,переспелый высохший,19 мар 2025  · Карта: xxx66,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг,0,0,0
Наталья,"Не сочные, безвкусные",не сочный безвкусный,19 мар 2025  · Карта: xxx19,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Станислав,"Очень толстая кожура, вкус слабый - и не сладкие, и не кислые",очень толстой кожура вкус слабый не сладкий не кислый,18 мар 2025  · Карта: xxx59,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Жанна,"Очень сочные, в меру сладкие апельсины. Понравились.",очень сочный мера сладкий апельсин понравиться,18 мар 2025  · Карта: xxx04,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Марина Тимофеевна,Немного суховаты,немного суховатый,18 мар 2025  · Карта: xxx30,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг,1,1,1
Наталья,Вкусные.,вкусный,18 мар 2025  · Карта: xxx90,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Галина,"Хорошие апельсины, сочные, с кислинкой.",хороший апельсин сочный кислинка,18 мар 2025  · Карта: xxx82,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Анна,Подмороженный,подморозить,18 мар 2025  · Карта: xxx84,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Ольга,Сухой,сухой,18 мар 2025  · Карта: xxx61,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
Виктория,"сладкие, сочные, крупные",сладкий сочный крупный,17 мар 2025  · Карта: xxx04,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
НАТАЛЬЯ,Очень сладкие о сочные,очень сладкий сочный,17 мар 2025  · Карта: xxx79,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг,1,1,1
Валентина,Рулетка...редко попадается по настоящему вкусный,рулеткаредко попадаться настоящий вкусный,17 мар 2025  · Карта: xxx10,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,1,0,1
Ника,недостаточно сочные. с огроменного апельсина один еле-еле пластиковый стаканчик сока получается,недостаточно сочный огроменный апельсин елееле пластиковый стаканчик сок получаться,17 мар 2025  · Карта: xxx19,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг,0,0,0
